split,family,method,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,best_C,best_cv_roc_auc,n_nonzero_coefs
rep0_fold0,Functional linear,Functional logistic regression (L2),0.9268378378062088,0.9594195965877382,0.4271356783919598,0.8828828828828829,0.8521739130434782,0.9623893805309734,0.9467140319715808,0.8672566371681416,0.8452722634138563,0.01,0.9006273803683668,343
rep0_fold0,Functional linear,Functional logistic regression (L1),0.9127651928198234,0.960376305509049,0.44221105527638194,0.8648648648648649,0.8067226890756303,0.9491150442477876,0.9325044404973357,0.8347826086956521,0.8139799091126525,0.06309573444801933,0.9009440342163989,57
rep0_fold0,Functional linear,Functional linear SVM,0.9291139654479694,0.958602407717452,0.135678391959799,0.8738738738738738,0.8151260504201681,0.9513274336283186,0.9360568383658969,0.8434782608695652,0.8252013075021924,0.01,0.8968266808942317,343
rep0_fold1,Functional linear,Functional logistic regression (L2),0.8041425234572013,0.872040181774695,0.46733668341708545,0.7657657657657657,0.8018867924528302,0.9535398230088495,0.91651865008881,0.783410138248848,0.7193055887746151,0.01,0.9248364886738266,343
rep0_fold1,Functional linear,Functional logistic regression (L1),0.8047031832170186,0.8756876345371921,0.5628140703517588,0.7567567567567568,0.8235294117647058,0.9601769911504425,0.9200710479573713,0.7887323943661971,0.7169337479071993,2.5118864315095824,0.9181872834470983,143
rep0_fold1,Functional linear,Functional linear SVM,0.8138361358976215,0.8800127561189507,0.15075376884422112,0.7657657657657657,0.7727272727272727,0.9446902654867256,0.9094138543516874,0.7692307692307693,0.7104560312524915,0.01,0.921502085502982,343
rep0_fold2,Functional linear,Functional logistic regression (L2),0.8829362713109916,0.9320161545771303,0.4271356783919598,0.8214285714285714,0.8070175438596491,0.9512195121951219,0.9253996447602132,0.8141592920353983,0.7726480836236933,0.01,0.9143085034687969,343
rep0_fold2,Functional linear,Functional logistic regression (L1),0.8641538139609337,0.9198012353500158,0.47738693467336685,0.8214285714285714,0.8214285714285714,0.9556541019955654,0.9289520426287744,0.8214285714285714,0.777082673424137,0.3981071705534973,0.911458851212246,97
rep0_fold2,Functional linear,Functional linear SVM,0.8655979526082154,0.9178215077605322,0.16080402010050251,0.8035714285714286,0.8181818181818182,0.9556541019955654,0.9253996447602132,0.8108108108108109,0.7592255305669942,0.01,0.9122499944257397,343
rep0_fold3,Functional linear,Functional logistic regression (L2),0.8764734379171332,0.9211474501108647,0.40703517587939697,0.8482142857142857,0.811965811965812,0.9512195121951219,0.9307282415630551,0.8296943231441049,0.7994337979094075,0.01,0.9117072322160507,343
rep0_fold3,Functional linear,Functional logistic regression (L1),0.8622074515238148,0.9201179917643333,0.4371859296482412,0.8482142857142857,0.7421875,0.926829268292683,0.911190053285968,0.7916666666666666,0.7750435540069687,0.06309573444801933,0.9110107007718996,47
rep0_fold3,Functional linear,Functional linear SVM,0.882589843980516,0.9249881216344632,0.15577889447236182,0.8392857142857143,0.8103448275862069,0.9512195121951219,0.9289520426287744,0.8245614035087719,0.7905052264808363,0.01,0.9072182452469638,343
rep0_fold4,Functional linear,Functional logistic regression (L2),0.844572592336148,0.903032942667089,0.457286432160804,0.8303571428571429,0.808695652173913,0.9512195121951219,0.9271758436944938,0.8193832599118943,0.7815766550522647,0.01,0.9205557175941133,343
