split,model,method,kind,representation,sigma,pr_auc,roc_auc,youden_threshold,sensitivity,recall,precision,specificity,accuracy,f1,youden_j,best_C,best_cv_roc_auc,n_nonzero_coefs
rep0_fold0,Raw + Functional logistic regression (L2),Functional logistic regression (L2),logreg_l2,Raw spectra,0.0,0.8522177274213028,0.9470023120465597,0.4824120603015075,0.8648648648648649,0.8648648648648649,0.7272727272727273,0.9203539823008849,0.9094138543516874,0.7901234567901234,0.78521884716575,100.0,0.9154523590448888,343
rep0_fold0,Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,2.0,0.8635053505448539,0.9498724388104919,0.4723618090452261,0.8738738738738738,0.8738738738738738,0.7348484848484849,0.922566371681416,0.9129662522202486,0.7983539094650206,0.7964402455552899,100.0,0.9149754707195391,343
rep0_fold0,Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,4.0,0.8807573725857915,0.9575659730526986,0.4321608040201005,0.9009009009009009,0.9009009009009009,0.7092198581560284,0.9092920353982301,0.9076376554174067,0.7936507936507936,0.8101929362991309,15.848931924611142,0.9130004203295244,343
rep0_fold0,Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,6.0,0.8745738992654815,0.9543570118791358,0.4472361809045226,0.9009009009009009,0.9009009009009009,0.7518796992481203,0.9269911504424779,0.9218472468916519,0.819672131147541,0.8278920513433787,15.848931924611142,0.9115223540451822,343
rep0_fold0,Raw + Functional linear SVM,Functional linear SVM,linear_svm,Raw spectra,0.0,0.855019640675152,0.9476600494299611,0.7336683417085427,0.8558558558558559,0.8558558558558559,0.7480314960629921,0.9292035398230089,0.9147424511545293,0.7983193277310925,0.7850593956788647,15.848931924611142,0.9115121082888763,343
rep0_fold0,Gaussian-smoothed + Functional linear SVM (sigma=2.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,2.0,0.8694165938758859,0.9521844853703262,0.678391959798995,0.8558558558558559,0.8558558558558559,0.7364341085271318,0.9247787610619469,0.911190053285968,0.7916666666666666,0.7806346169178027,2.5118864315095824,0.9117166029494398,343
rep0_fold0,Gaussian-smoothed + Functional linear SVM (sigma=4.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,4.0,0.8521232310454045,0.9474208721996333,0.7587939698492463,0.954954954954955,0.954954954954955,0.43621399176954734,0.6969026548672567,0.7477797513321492,0.5988700564971752,0.6518576098222115,15.848931924611142,0.9120089007117208,343
rep0_fold0,Gaussian-smoothed + Functional linear SVM (sigma=6.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,6.0,0.8529805938766442,0.9475404608147971,0.7487437185929648,0.9099099099099099,0.9099099099099099,0.63125,0.8694690265486725,0.8774422735346359,0.7453874538745388,0.7793789364585826,15.848931924611142,0.9114824221838518,343
rep0_fold1,Raw + Functional logistic regression (L2),Functional logistic regression (L2),logreg_l2,Raw spectra,0.0,0.7523516617939261,0.8870884158494777,0.4723618090452261,0.7567567567567568,0.7567567567567568,0.7777777777777778,0.9469026548672567,0.9094138543516874,0.7671232876712328,0.7036594116240136,100.0,0.9268159786854632,343
rep0_fold1,Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,2.0,0.7560594161447145,0.8886829307183288,0.4371859296482412,0.7657657657657657,0.7657657657657657,0.6692913385826772,0.9070796460176991,0.8792184724689165,0.7142857142857143,0.6728454117834648,15.848931924611142,0.9268630275446864,343
rep0_fold1,Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,4.0,0.7586045775063925,0.8909351829705812,0.4371859296482412,0.7657657657657657,0.7657657657657657,0.6967213114754098,0.918141592920354,0.8880994671403197,0.7296137339055794,0.6839073586861197,15.848931924611142,0.925772933486912,343
rep0_fold1,Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,6.0,0.7564857246408387,0.8905365542533684,0.4321608040201005,0.7657657657657657,0.7657657657657657,0.6746031746031746,0.9092920353982301,0.8809946714031972,0.7172995780590717,0.6750578011639958,15.848931924611142,0.9255234861115961,343
rep0_fold1,Raw + Functional linear SVM,Functional linear SVM,linear_svm,Raw spectra,0.0,0.755033125109098,0.892609423582875,0.44221105527638194,0.6846846846846847,0.6846846846846847,0.7755102040816326,0.9513274336283186,0.8987566607460036,0.7272727272727273,0.6360121183130034,100.0,0.9276999889701991,343
rep0_fold1,Gaussian-smoothed + Functional linear SVM (sigma=2.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,2.0,0.7575908288880882,0.894482978553775,0.4824120603015075,0.7747747747747747,0.7747747747747747,0.6515151515151515,0.8982300884955752,0.8738898756660746,0.7078189300411523,0.67300486327035,100.0,0.9260270678165311,343
rep0_fold1,Gaussian-smoothed + Functional linear SVM (sigma=4.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,4.0,0.7597026383521774,0.8887825878976321,0.5125628140703518,0.8018018018018018,0.8018018018018018,0.5056818181818182,0.8075221238938053,0.8063943161634103,0.6202090592334495,0.6093239256956071,15.848931924611142,0.9239686848630062,343
rep0_fold1,Gaussian-smoothed + Functional linear SVM (sigma=6.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,6.0,0.7604047734073671,0.8888025193334929,0.6080402010050251,0.7477477477477478,0.7477477477477478,0.7980769230769231,0.9535398230088495,0.9129662522202486,0.772093023255814,0.7012875707565973,15.848931924611142,0.9233549535486346,343
rep0_fold2,Raw + Functional logistic regression (L2),Functional logistic regression (L2),logreg_l2,Raw spectra,0.0,0.826066473162354,0.9252256889452012,0.47738693467336685,0.8214285714285714,0.8214285714285714,0.7796610169491526,0.9423503325942351,0.9182948490230906,0.8,0.7637789040228065,15.848931924611142,0.9229829815322246,343
rep0_fold2,Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,2.0,0.8256245543980991,0.9251464998416218,0.46733668341708545,0.8214285714285714,0.8214285714285714,0.7540983606557377,0.9334811529933481,0.911190053285968,0.7863247863247863,0.7549097244219194,15.848931924611142,0.9236379320076838,343
rep0_fold2,Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,4.0,0.8259691065605731,0.9245525815647767,0.46733668341708545,0.8214285714285714,0.8214285714285714,0.773109243697479,0.9401330376940134,0.91651865008881,0.7965367965367965,0.7615616091225847,15.848931924611142,0.9248547277460966,343
rep0_fold2,Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,6.0,0.8252761193675138,0.9244337979094077,0.46733668341708545,0.8214285714285714,0.8214285714285714,0.773109243697479,0.9401330376940134,0.91651865008881,0.7965367965367965,0.7615616091225847,15.848931924611142,0.9260806883719322,343
rep0_fold2,Raw + Functional linear SVM,Functional linear SVM,linear_svm,Raw spectra,0.0,0.8205814412750636,0.9209890719037059,0.46733668341708545,0.8214285714285714,0.8214285714285714,0.6865671641791045,0.9068736141906873,0.8898756660746003,0.7479674796747967,0.7283021856192589,15.848931924611142,0.9230209969830696,343
rep0_fold2,Gaussian-smoothed + Functional linear SVM (sigma=2.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,2.0,0.8177774382759694,0.9211474501108647,0.4321608040201005,0.8214285714285714,0.8214285714285714,0.6764705882352942,0.9024390243902439,0.8863232682060391,0.7419354838709677,0.7238675958188154,15.848931924611142,0.9224297989710819,343
rep0_fold2,Gaussian-smoothed + Functional linear SVM (sigma=4.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,4.0,0.8131488106060957,0.9171879949318974,0.4824120603015075,0.9107142857142857,0.9107142857142857,0.43776824034334766,0.7095343680709535,0.7495559502664298,0.591304347826087,0.6202486537852392,100.0,0.9215548660881892,343
rep0_fold2,Gaussian-smoothed + Functional linear SVM (sigma=6.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,6.0,0.8042645083892425,0.9137630662020906,0.5276381909547738,0.8928571428571429,0.8928571428571429,0.5181347150259067,0.7937915742793792,0.8134991119005328,0.6557377049180327,0.6866487171365221,100.0,0.9212651049899372,343
rep0_fold3,Raw + Functional logistic regression (L2),Functional logistic regression (L2),logreg_l2,Raw spectra,0.0,0.8549061132119444,0.9390441875197972,0.46733668341708545,0.8125,0.8125,0.7711864406779662,0.9401330376940134,0.9147424511545293,0.7913043478260869,0.7526330376940134,15.848931924611142,0.9148323332809052,343
rep0_fold3,Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,2.0,0.8556990993278237,0.9384898637947418,0.46733668341708545,0.8125,0.8125,0.7583333333333333,0.9356984478935698,0.911190053285968,0.7844827586206896,0.7481984478935697,15.848931924611142,0.9154247616476429,343
rep0_fold3,Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,4.0,0.8614315940649411,0.9398558758314856,0.4321608040201005,0.8571428571428571,0.8571428571428571,0.6620689655172414,0.8913525498891353,0.8845470692717584,0.7470817120622568,0.7484954070319922,15.848931924611142,0.9153938772324913,343
rep0_fold3,Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,6.0,0.8627518184551493,0.9418158061450744,0.4623115577889447,0.8303571428571429,0.8303571428571429,0.7622950819672131,0.9356984478935698,0.9147424511545293,0.7948717948717948,0.7660555907507127,15.848931924611142,0.9182495054978276,343
rep0_fold3,Raw + Functional linear SVM,Functional linear SVM,linear_svm,Raw spectra,0.0,0.8189365301321438,0.9099025974025974,0.7386934673366834,0.5803571428571429,0.5803571428571429,0.8666666666666667,0.9778270509977827,0.8987566607460036,0.6951871657754011,0.5581841938549257,2.5118864315095824,0.9116559339557623,343
rep0_fold3,Gaussian-smoothed + Functional linear SVM (sigma=2.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,2.0,0.8240067164125134,0.9127929996832437,0.7135678391959799,0.9017857142857143,0.9017857142857143,0.42436974789915966,0.6962305986696231,0.7371225577264654,0.5771428571428572,0.5980163129553375,2.5118864315095824,0.9107561428850643,343
rep0_fold3,Gaussian-smoothed + Functional linear SVM (sigma=4.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,4.0,0.8318946748853276,0.9169504276211594,0.6381909547738693,0.6696428571428571,0.6696428571428571,0.8152173913043478,0.9623059866962306,0.9040852575488455,0.7352941176470589,0.6319488438390877,2.5118864315095824,0.9101172372399157,343
rep0_fold3,Gaussian-smoothed + Functional linear SVM (sigma=6.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,6.0,0.8375616138104985,0.9176235350015838,0.6432160804020101,0.7142857142857143,0.7142857142857143,0.7766990291262136,0.9490022172949002,0.9023090586145648,0.7441860465116279,0.6632879315806144,2.5118864315095824,0.9117088894285711,343
rep0_fold4,Raw + Functional logistic regression (L2),Functional logistic regression (L2),logreg_l2,Raw spectra,0.0,0.7362774537955593,0.9123376623376624,0.4472361809045226,0.8035714285714286,0.8035714285714286,0.72,0.9223946784922394,0.8987566607460036,0.759493670886076,0.725966107063668,15.848931924611142,0.9201825685749521,343
rep0_fold4,Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,2.0,0.7344640743391535,0.9103183401963889,0.457286432160804,0.7767857142857143,0.7767857142857143,0.7565217391304347,0.9379157427937915,0.9058614564831261,0.7665198237885462,0.7147014570795058,15.848931924611142,0.9220299336773504,343
rep0_fold4,Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,4.0,0.7317816597102459,0.9120011086474501,0.4472361809045226,0.7946428571428571,0.7946428571428571,0.7235772357723578,0.9246119733924612,0.8987566607460036,0.7574468085106383,0.7192548305353181,15.848931924611142,0.9234700764667988,343
rep0_fold4,Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,6.0,0.7370600395807029,0.9137630662020907,0.4371859296482412,0.8125,0.8125,0.7109375,0.917960088691796,0.8969804618117229,0.7583333333333333,0.730460088691796,15.848931924611142,0.9220299838959116,343
