model,wavelength,weight_mean,weight_std
Gaussian-smoothed + Functional linear SVM (sigma=2.0),336.0,2.484124467609842,3.835386832060178
Gaussian-smoothed + Functional linear SVM (sigma=2.0),338.0,3.82608434427037,4.96294341873821
Gaussian-smoothed + Functional linear SVM (sigma=2.0),340.0,-0.45912238540753725,3.6163396365228624
Gaussian-smoothed + Functional linear SVM (sigma=2.0),342.0,-7.187632400924772,4.802925842969744
Gaussian-smoothed + Functional linear SVM (sigma=2.0),344.0,-6.623676611048048,5.328747861487064
Gaussian-smoothed + Functional linear SVM (sigma=2.0),346.0,1.5087861380663865,4.056702157179447
Gaussian-smoothed + Functional linear SVM (sigma=2.0),348.0,7.707290703941478,6.000250324873378
Gaussian-smoothed + Functional linear SVM (sigma=2.0),350.0,5.63800336508508,4.130312322917939
Gaussian-smoothed + Functional linear SVM (sigma=2.0),352.0,-0.8304245031019625,1.580675389502481
Gaussian-smoothed + Functional linear SVM (sigma=2.0),354.0,-3.2082507384640246,2.3851499552581963
Gaussian-smoothed + Functional linear SVM (sigma=2.0),356.0,-1.592863703597037,1.9718769172363406
Gaussian-smoothed + Functional linear SVM (sigma=2.0),358.0,-0.6782330755677765,2.252885606933441
Gaussian-smoothed + Functional linear SVM (sigma=2.0),360.0,-0.6880365752320229,2.785975324471957
Gaussian-smoothed + Functional linear SVM (sigma=2.0),362.0,1.5228716751523914,2.7065394775845997
Gaussian-smoothed + Functional linear SVM (sigma=2.0),364.0,5.698297860627673,4.9577929202139135
Gaussian-smoothed + Functional linear SVM (sigma=2.0),366.0,7.655561123669749,5.734928400617672
Gaussian-smoothed + Functional linear SVM (sigma=2.0),368.0,4.603966603680304,2.913535899487056
Gaussian-smoothed + Functional linear SVM (sigma=2.0),370.0,-1.2905835214666865,2.3824592979075025
Gaussian-smoothed + Functional linear SVM (sigma=2.0),372.0,-4.8137510757764685,4.3175088486366064
Gaussian-smoothed + Functional linear SVM (sigma=2.0),374.0,-4.325396186470702,3.663393930286047
Gaussian-smoothed + Functional linear SVM (sigma=2.0),376.0,-2.3592485292213565,2.4466288999777817
Gaussian-smoothed + Functional linear SVM (sigma=2.0),378.0,-1.357825916049054,3.043573826077887
Gaussian-smoothed + Functional linear SVM (sigma=2.0),380.0,-2.083316876668031,3.0661729162295406
Gaussian-smoothed + Functional linear SVM (sigma=2.0),382.0,-3.91307035246114,2.379432008380217
Gaussian-smoothed + Functional linear SVM (sigma=2.0),384.0,-5.799673282138807,2.7282065739366974
Gaussian-smoothed + Functional linear SVM (sigma=2.0),386.0,-6.730428966535174,3.7772721128522604
Gaussian-smoothed + Functional linear SVM (sigma=2.0),388.0,-5.533029837897394,4.898890486864187
Gaussian-smoothed + Functional linear SVM (sigma=2.0),390.0,-1.756708793817313,3.9989242525008524
Gaussian-smoothed + Functional linear SVM (sigma=2.0),392.0,2.8307285927175396,2.511753615323769
Gaussian-smoothed + Functional linear SVM (sigma=2.0),394.0,5.383434689229614,4.337662852295566
Gaussian-smoothed + Functional linear SVM (sigma=2.0),396.0,5.007379320047962,4.971145796978773
Gaussian-smoothed + Functional linear SVM (sigma=2.0),398.0,3.2250415735731504,3.7422731029549294
Gaussian-smoothed + Functional linear SVM (sigma=2.0),400.0,2.3075567029970294,2.560837551478528
Gaussian-smoothed + Functional linear SVM (sigma=2.0),402.0,3.600040737319861,3.7607274570955704
Gaussian-smoothed + Functional linear SVM (sigma=2.0),404.0,6.561214019202578,5.964259330943218
Gaussian-smoothed + Functional linear SVM (sigma=2.0),406.0,9.272458545657612,7.322962699680847
Gaussian-smoothed + Functional linear SVM (sigma=2.0),408.0,10.036854677654338,6.889837406149487
Gaussian-smoothed + Functional linear SVM (sigma=2.0),410.0,8.452671248775687,4.868930376797674
Gaussian-smoothed + Functional linear SVM (sigma=2.0),412.0,5.369174640168344,2.5935229758486407
Gaussian-smoothed + Functional linear SVM (sigma=2.0),414.0,2.2865640688082514,1.9907247876743548
Gaussian-smoothed + Functional linear SVM (sigma=2.0),416.0,0.5997062533815275,2.1238598839596063
Gaussian-smoothed + Functional linear SVM (sigma=2.0),418.0,0.9592520195938428,1.8772445497131673
Gaussian-smoothed + Functional linear SVM (sigma=2.0),420.0,3.1299420866791188,2.4556462225608255
Gaussian-smoothed + Functional linear SVM (sigma=2.0),422.0,6.311646732396423,3.772160111029434
Gaussian-smoothed + Functional linear SVM (sigma=2.0),424.0,9.497021162605762,4.94346017778622
Gaussian-smoothed + Functional linear SVM (sigma=2.0),426.0,11.657292872928092,5.572939136057843
Gaussian-smoothed + Functional linear SVM (sigma=2.0),428.0,11.917343485454037,5.438907196548706
Gaussian-smoothed + Functional linear SVM (sigma=2.0),430.0,9.847082900225168,4.447453062481523
Gaussian-smoothed + Functional linear SVM (sigma=2.0),432.0,5.737284177513711,2.866941734692442
Gaussian-smoothed + Functional linear SVM (sigma=2.0),434.0,0.5900590662270411,2.2287097493590826
Gaussian-smoothed + Functional linear SVM (sigma=2.0),436.0,-4.2426317445364665,3.7827538463488404
Gaussian-smoothed + Functional linear SVM (sigma=2.0),438.0,-7.592339262261204,5.3671690112519315
Gaussian-smoothed + Functional linear SVM (sigma=2.0),440.0,-8.933297991066985,5.993032434437064
Gaussian-smoothed + Functional linear SVM (sigma=2.0),442.0,-8.52589869880254,5.572688312625496
Gaussian-smoothed + Functional linear SVM (sigma=2.0),444.0,-7.188677006000358,4.552205990552288
Gaussian-smoothed + Functional linear SVM (sigma=2.0),446.0,-5.848014722125069,3.6090435467281172
Gaussian-smoothed + Functional linear SVM (sigma=2.0),448.0,-5.110855135854639,3.131782404481117
Gaussian-smoothed + Functional linear SVM (sigma=2.0),450.0,-5.059084102361076,2.986895678971181
Gaussian-smoothed + Functional linear SVM (sigma=2.0),452.0,-5.307160285592388,3.0730509969396014
Gaussian-smoothed + Functional linear SVM (sigma=2.0),454.0,-5.250025590056802,3.3958411068108196
Gaussian-smoothed + Functional linear SVM (sigma=2.0),456.0,-4.391567382610513,3.645545967989871
Gaussian-smoothed + Functional linear SVM (sigma=2.0),458.0,-2.615591387410512,3.4246560947230003
Gaussian-smoothed + Functional linear SVM (sigma=2.0),460.0,-0.2560426231516142,2.6861291331698287
Gaussian-smoothed + Functional linear SVM (sigma=2.0),462.0,2.076321791836702,1.9857030663354476
Gaussian-smoothed + Functional linear SVM (sigma=2.0),464.0,3.795038102840311,2.2314645903153942
Gaussian-smoothed + Functional linear SVM (sigma=2.0),466.0,4.585864121260018,2.979223881971959
