model_a,model_b,metric,n_folds,mean_a,mean_b,mean_diff_a_minus_b,wilcoxon_stat,p_value,significant_0_05
Raw + Functional linear SVM,Gaussian-smoothed + Functional linear SVM (sigma=2.0),f1,50,0.693444311128938,0.705541830020891,-0.012097518891953018,565.0,0.49032624846387485,False
Raw + Functional linear SVM,Gaussian-smoothed + Functional linear SVM (sigma=2.0),pr_auc,50,0.7929914400174399,0.7947224387942515,-0.0017309987768116296,578.0,0.5720861414815896,False
Raw + Functional linear SVM,Gaussian-smoothed + Functional linear SVM (sigma=4.0),f1,50,0.693444311128938,0.7051579571871168,-0.011713646058178914,558.0,0.4490067617286915,False
Raw + Functional linear SVM,Gaussian-smoothed + Functional linear SVM (sigma=4.0),pr_auc,50,0.7929914400174399,0.7979636566389192,-0.004972216621479353,489.0,0.15430250303892734,False
Raw + Functional linear SVM,Gaussian-smoothed + Functional linear SVM (sigma=6.0),f1,50,0.693444311128938,0.7118912655405903,-0.018446954411652235,521.0,0.2653376709882824,False
Raw + Functional linear SVM,Gaussian-smoothed + Functional linear SVM (sigma=6.0),pr_auc,50,0.7929914400174399,0.7995755986145318,-0.006584158597091955,443.0,0.060701401498306495,False
Raw + Functional logistic regression (L2),Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),f1,50,0.772697846695404,0.7716737611184586,0.0010240855769451129,569.0,0.8454913091981089,False
Raw + Functional logistic regression (L2),Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),pr_auc,50,0.8060622359191061,0.8076201392676521,-0.0015579033485461301,512.0,0.22974800885474522,False
Raw + Functional logistic regression (L2),Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),f1,50,0.772697846695404,0.7738933329236048,-0.0011954862282010858,632.0,0.9618478594751583,False
Raw + Functional logistic regression (L2),Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),pr_auc,50,0.8060622359191061,0.8079876436404884,-0.001925407721382284,490.0,0.15714035289247086,False
Raw + Functional logistic regression (L2),Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),f1,50,0.772697846695404,0.7757416639891314,-0.00304381729372732,462.0,0.1962447266045112,False
Raw + Functional logistic regression (L2),Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),pr_auc,50,0.8060622359191061,0.8089575578095765,-0.002895321890470397,447.0,0.06633200503891068,False
Raw + Functional linear SVM,Raw + Functional logistic regression (L2),f1,50,0.693444311128938,0.772697846695404,-0.07925353556646585,40.0,1.5448975432263978e-11,True
Raw + Functional linear SVM,Raw + Functional logistic regression (L2),pr_auc,50,0.7929914400174399,0.8060622359191061,-0.013070795901666259,112.0,2.434094703573919e-08,True
