split,sigma,representation,family,method,tuning,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,best_C,best_cv_roc_auc,n_nonzero_coefs
rep0_fold0,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8835804408002081,0.9387706290361157,0.21105527638190955,0.8558558558558559,0.7983193277310925,0.9469026548672567,0.9289520426287744,0.8260869565217391,0.8027585107231126,,,
rep0_fold0,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.9268378378062088,0.9594195965877382,0.4271356783919598,0.8828828828828829,0.8521739130434782,0.9623893805309734,0.9467140319715808,0.8672566371681416,0.8452722634138563,0.01,0.9006273803683668,343.0
rep0_fold0,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.9291139654479694,0.958602407717452,0.135678391959799,0.8738738738738738,0.8151260504201681,0.9513274336283186,0.9360568383658969,0.8434782608695652,0.8252013075021924,0.01,0.8968266808942317,343.0
rep0_fold1,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.7538765763116815,0.8486406760743044,0.3919597989949749,0.6846846846846847,0.8,0.9579646017699115,0.9040852575488455,0.7378640776699029,0.6426492864545961,,,
rep0_fold1,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8041425234572013,0.872040181774695,0.46733668341708545,0.7657657657657657,0.8018867924528302,0.9535398230088495,0.91651865008881,0.783410138248848,0.7193055887746151,0.01,0.9248364886738266,343.0
rep0_fold1,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8138361358976215,0.8800127561189507,0.15075376884422112,0.7657657657657657,0.7727272727272727,0.9446902654867256,0.9094138543516874,0.7692307692307693,0.7104560312524915,0.01,0.9214983693294515,343.0
rep0_fold2,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.820047368479059,0.8944508235666773,0.20603015075376885,0.8035714285714286,0.72,0.9223946784922394,0.8987566607460036,0.759493670886076,0.725966107063668,,,
rep0_fold2,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional logistic regression (L2),inner-CV C,0.8829362713109916,0.9320161545771303,0.4271356783919598,0.8214285714285714,0.8070175438596491,0.9512195121951219,0.9253996447602132,0.8141592920353983,0.7726480836236933,0.01,0.9143085034687969,343.0
rep0_fold2,0.0,Raw L2-normalised sampled spectra,Functional linear,Functional linear SVM,inner-CV C,0.8655646297504977,0.9178017104846373,0.16080402010050251,0.8035714285714286,0.8181818181818182,0.9556541019955654,0.9253996447602132,0.8108108108108109,0.7592255305669942,0.01,0.9122499944257397,343.0
rep0_fold3,0.0,Raw L2-normalised sampled spectra,Distance-based functional,weighted kNN + seuclidean,k=5,0.8326499950874073,0.9083980044345898,0.3919597989949749,0.8035714285714286,0.8571428571428571,0.9667405764966741,0.9342806394316163,0.8294930875576036,0.7703120050681027,,,
