Sigma,Family,Method,F1 mean ± std,PR-AUC mean ± std,ROC-AUC mean ± std,Sensitivity mean ± std,Specificity mean ± std
0.0,Functional linear,Functional linear SVM,0.8066 ± 0.0300,0.8657 ± 0.0291,0.9151 ± 0.0197,0.8247 ± 0.0316,0.9453 ± 0.0149
4.0,Functional linear,Functional linear SVM,0.8064 ± 0.0283,0.8690 ± 0.0268,0.9178 ± 0.0181,0.8272 ± 0.0333,0.9443 ± 0.0141
6.0,Functional linear,Functional linear SVM,0.8086 ± 0.0294,0.8727 ± 0.0258,0.9209 ± 0.0172,0.8251 ± 0.0276,0.9464 ± 0.0150
8.0,Functional linear,Functional linear SVM,0.8121 ± 0.0290,0.8739 ± 0.0256,0.9215 ± 0.0171,0.8271 ± 0.0319,0.9479 ± 0.0152
10.0,Functional linear,Functional linear SVM,0.8079 ± 0.0272,0.8731 ± 0.0256,0.9204 ± 0.0174,0.8260 ± 0.0314,0.9456 ± 0.0154
12.0,Functional linear,Functional linear SVM,0.8088 ± 0.0276,0.8726 ± 0.0255,0.9193 ± 0.0173,0.8285 ± 0.0312,0.9453 ± 0.0152
0.0,Functional linear,Functional logistic regression (L2),0.8098 ± 0.0278,0.8650 ± 0.0280,0.9155 ± 0.0198,0.8292 ± 0.0329,0.9458 ± 0.0129
4.0,Functional linear,Functional logistic regression (L2),0.8094 ± 0.0257,0.8690 ± 0.0261,0.9189 ± 0.0184,0.8288 ± 0.0312,0.9457 ± 0.0117
6.0,Functional linear,Functional logistic regression (L2),0.8109 ± 0.0273,0.8708 ± 0.0257,0.9205 ± 0.0177,0.8278 ± 0.0307,0.9470 ± 0.0131
8.0,Functional linear,Functional logistic regression (L2),0.8112 ± 0.0263,0.8707 ± 0.0256,0.9202 ± 0.0179,0.8278 ± 0.0294,0.9472 ± 0.0113
10.0,Functional linear,Functional logistic regression (L2),0.8103 ± 0.0279,0.8697 ± 0.0258,0.9193 ± 0.0171,0.8278 ± 0.0293,0.9465 ± 0.0149
12.0,Functional linear,Functional logistic regression (L2),0.8102 ± 0.0272,0.8693 ± 0.0254,0.9187 ± 0.0168,0.8296 ± 0.0311,0.9459 ± 0.0129
0.0,Distance-based functional,weighted kNN + seuclidean,0.7738 ± 0.0274,0.8083 ± 0.0354,0.8910 ± 0.0201,0.7765 ± 0.0402,0.9429 ± 0.0145
4.0,Distance-based functional,weighted kNN + seuclidean,0.7885 ± 0.0308,0.8262 ± 0.0303,0.9008 ± 0.0177,0.7885 ± 0.0329,0.9474 ± 0.0160
6.0,Distance-based functional,weighted kNN + seuclidean,0.7994 ± 0.0311,0.8285 ± 0.0299,0.9034 ± 0.0169,0.7839 ± 0.0298,0.9560 ± 0.0136
8.0,Distance-based functional,weighted kNN + seuclidean,0.7997 ± 0.0305,0.8304 ± 0.0299,0.9048 ± 0.0184,0.7889 ± 0.0316,0.9544 ± 0.0128
10.0,Distance-based functional,weighted kNN + seuclidean,0.7998 ± 0.0333,0.8304 ± 0.0296,0.9049 ± 0.0178,0.7894 ± 0.0317,0.9541 ± 0.0142
12.0,Distance-based functional,weighted kNN + seuclidean,0.8016 ± 0.0353,0.8313 ± 0.0296,0.9050 ± 0.0174,0.7951 ± 0.0316,0.9530 ± 0.0154
