sigma,method,metric,comparison,mean_raw,mean_smoothed,mean_delta,wilcoxon_statistic,p_value,statistically_significant,direction
4.0,Functional linear SVM,f1,sigma=4 vs raw,0.8065577016425748,0.8064325029140417,-0.0001251987285328382,521.0,0.8312920290238954,False,decreased
4.0,Functional linear SVM,pr_auc,sigma=4 vs raw,0.8656616690329422,0.8689945030105445,0.0033328339776023852,91.0,4.057499225496031e-09,True,improved
4.0,Functional logistic regression (L2),f1,sigma=4 vs raw,0.8097550970954634,0.8094192221918526,-0.0003358749036109687,546.0,0.666632055322476,False,decreased
4.0,Functional logistic regression (L2),pr_auc,sigma=4 vs raw,0.8650204512436482,0.8690199754074938,0.0039995241638455204,51.0,6.337863567296154e-11,True,improved
4.0,weighted kNN + seuclidean,f1,sigma=4 vs raw,0.7737684905003853,0.7884938105968641,0.014725320096478669,199.0,3.902013387522206e-05,True,improved
4.0,weighted kNN + seuclidean,pr_auc,sigma=4 vs raw,0.8083035719895584,0.8262373633715796,0.017933791382021166,40.0,1.5448975432263978e-11,True,improved
6.0,Functional linear SVM,f1,sigma=6 vs raw,0.8065577016425748,0.8086277529360903,0.0020700512935156955,509.0,0.21866240175859453,False,improved
6.0,Functional linear SVM,pr_auc,sigma=6 vs raw,0.8656616690329422,0.8727417385660174,0.007080069533075397,45.0,2.994404724177002e-11,True,improved
6.0,Functional logistic regression (L2),f1,sigma=6 vs raw,0.8097550970954634,0.810899326892237,0.0011442297967736081,527.0,0.6953982225314291,False,improved
6.0,Functional logistic regression (L2),pr_auc,sigma=6 vs raw,0.8650204512436482,0.8707858377017829,0.005765386458134727,35.0,7.65609797781508e-12,True,improved
6.0,weighted kNN + seuclidean,f1,sigma=6 vs raw,0.7737684905003853,0.7994192655319889,0.025650775031603575,64.0,2.8132163265581767e-10,True,improved
6.0,weighted kNN + seuclidean,pr_auc,sigma=6 vs raw,0.8083035719895584,0.8284528051454823,0.020149233155923693,39.0,1.34718902700115e-11,True,improved
8.0,Functional linear SVM,f1,sigma=8 vs raw,0.8065577016425748,0.8120524231400317,0.005494721497456912,402.0,0.03626839756300609,True,improved
8.0,Functional linear SVM,pr_auc,sigma=8 vs raw,0.8656616690329422,0.8739218076760367,0.00826013864309458,57.0,1.2871659293978155e-10,True,improved
8.0,Functional logistic regression (L2),f1,sigma=8 vs raw,0.8097550970954634,0.8111582297111174,0.0014031326156537793,530.0,0.5519239429703,False,improved
8.0,Functional logistic regression (L2),pr_auc,sigma=8 vs raw,0.8650204512436482,0.8706626094134422,0.0056421581697942,61.0,2.0232171493717033e-10,True,improved
8.0,weighted kNN + seuclidean,f1,sigma=8 vs raw,0.7737684905003853,0.7997374828910901,0.02596899239070451,34.0,8.689349220288216e-09,True,improved
8.0,weighted kNN + seuclidean,pr_auc,sigma=8 vs raw,0.8083035719895584,0.8303980091417372,0.022094437152178865,57.0,1.2871659293978155e-10,True,improved
10.0,Functional linear SVM,f1,sigma=10 vs raw,0.8065577016425748,0.8078800535597004,0.001322351917125748,581.0,0.5918179227766114,False,improved
10.0,Functional linear SVM,pr_auc,sigma=10 vs raw,0.8656616690329422,0.8731234554764994,0.0074617864435572966,83.0,1.9326371614170057e-09,True,improved
10.0,Functional logistic regression (L2),f1,sigma=10 vs raw,0.8097550970954634,0.8103389572596921,0.0005838601642286201,509.0,0.7307340295258484,False,improved
10.0,Functional logistic regression (L2),pr_auc,sigma=10 vs raw,0.8650204512436482,0.8697098226398345,0.004689371396186321,159.0,7.239255257474042e-07,True,improved
10.0,weighted kNN + seuclidean,f1,sigma=10 vs raw,0.7737684905003853,0.7998402313106429,0.026071740810257697,45.0,2.994404724177002e-11,True,improved
10.0,weighted kNN + seuclidean,pr_auc,sigma=10 vs raw,0.8083035719895584,0.8303822278162363,0.02207865582667772,66.0,3.489741828843762e-10,True,improved
12.0,Functional linear SVM,f1,sigma=12 vs raw,0.8065577016425748,0.8087512271755918,0.002193525533017273,550.0,0.4042577575813002,False,improved
12.0,Functional linear SVM,pr_auc,sigma=12 vs raw,0.8656616690329422,0.8725882425186475,0.006926573485705459,141.0,2.1499046276574063e-07,True,improved
12.0,Functional logistic regression (L2),f1,sigma=12 vs raw,0.8097550970954634,0.8102056765725423,0.0004505794770788474,629.0,0.9389922173111831,False,improved
12.0,Functional logistic regression (L2),pr_auc,sigma=12 vs raw,0.8650204512436482,0.8693492017337044,0.004328750490056435,228.0,3.633577416550793e-05,True,improved
12.0,weighted kNN + seuclidean,f1,sigma=12 vs raw,0.7737684905003853,0.801557678385887,0.027789187885501762,61.0,4.112928062891432e-08,True,improved
12.0,weighted kNN + seuclidean,pr_auc,sigma=12 vs raw,0.8083035719895584,0.8313403523789202,0.023036780389361883,63.0,2.5226754019058717e-10,True,improved
